cohort,endpoint,dataset,size,method,paper_id,metric,direction,mean,std,split,protocol,source,source_kind,source_location,checked_on,rank
tdc-collected-six-19-v1,CYP2C9 inhibition,CYP2C9_Veith,12092,MolE,mole-2024,AUPRC,higher,0.782,0.001,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,4.0
tdc-collected-six-19-v1,CYP2C9 inhibition,CYP2C9_Veith,12092,KPGT,kpgt-2023,AUPRC,higher,0.797,0.006,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,2.0
tdc-collected-six-19-v1,CYP2C9 inhibition,CYP2C9_Veith,12092,MapLight,maplight-2023,AUPRC,higher,0.783,0.002,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/10cyp2c9i/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,CYP2C9 inhibition,CYP2C9_Veith,12092,MapLight + GNN,maplight-2023,AUPRC,higher,0.859,0.001,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/10cyp2c9i/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,CYP2C9 inhibition,CYP2C9_Veith,12092,Chemprop-RDKit,chemprop-dmpnn-2019,AUPRC,higher,0.777,0.003,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/10cyp2c9i/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,CYP2C9 inhibition,CYP2C9_Veith,12092,AttentiveFP,attentivefp-2019,AUPRC,higher,0.749,0.004,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/10cyp2c9i/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,CYP2D6 inhibition,CYP2D6_Veith,13130,MolE,mole-2024,AUPRC,higher,0.679,0.006,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,4.0
tdc-collected-six-19-v1,CYP2D6 inhibition,CYP2D6_Veith,13130,KPGT,kpgt-2023,AUPRC,higher,0.724,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,2.0
tdc-collected-six-19-v1,CYP2D6 inhibition,CYP2D6_Veith,13130,MapLight,maplight-2023,AUPRC,higher,0.723,0.003,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/11cyp2d6i/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,CYP2D6 inhibition,CYP2D6_Veith,13130,MapLight + GNN,maplight-2023,AUPRC,higher,0.79,0.001,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/11cyp2d6i/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,CYP2D6 inhibition,CYP2D6_Veith,13130,Chemprop-RDKit,chemprop-dmpnn-2019,AUPRC,higher,0.673,0.007,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/11cyp2d6i/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,CYP2D6 inhibition,CYP2D6_Veith,13130,AttentiveFP,attentivefp-2019,AUPRC,higher,0.646,0.014,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/11cyp2d6i/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,CYP3A4 inhibition,CYP3A4_Veith,12328,MolE,mole-2024,AUPRC,higher,0.876,0.002,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,4.5
tdc-collected-six-19-v1,CYP3A4 inhibition,CYP3A4_Veith,12328,KPGT,kpgt-2023,AUPRC,higher,0.894,0.004,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,2.0
tdc-collected-six-19-v1,CYP3A4 inhibition,CYP3A4_Veith,12328,MapLight,maplight-2023,AUPRC,higher,0.881,0.001,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/12cyp3a4i/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,CYP3A4 inhibition,CYP3A4_Veith,12328,MapLight + GNN,maplight-2023,AUPRC,higher,0.916,0.0,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/12cyp3a4i/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,CYP3A4 inhibition,CYP3A4_Veith,12328,Chemprop-RDKit,chemprop-dmpnn-2019,AUPRC,higher,0.876,0.003,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/12cyp3a4i/,leaderboard,TDC leaderboard,2026-09-22,4.5
tdc-collected-six-19-v1,CYP3A4 inhibition,CYP3A4_Veith,12328,AttentiveFP,attentivefp-2019,AUPRC,higher,0.851,0.006,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/12cyp3a4i/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,CYP2C9 substrate,CYP2C9_Substrate_CarbonMangels,666,MolE,mole-2024,AUPRC,higher,0.409,0.014,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,4.0
tdc-collected-six-19-v1,CYP2C9 substrate,CYP2C9_Substrate_CarbonMangels,666,KPGT,kpgt-2023,AUPRC,higher,0.45,0.044,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,1.0
tdc-collected-six-19-v1,CYP2C9 substrate,CYP2C9_Substrate_CarbonMangels,666,MapLight,maplight-2023,AUPRC,higher,0.415,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/13cyp2c9s/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,CYP2C9 substrate,CYP2C9_Substrate_CarbonMangels,666,MapLight + GNN,maplight-2023,AUPRC,higher,0.437,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/13cyp2c9s/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,CYP2C9 substrate,CYP2C9_Substrate_CarbonMangels,666,Chemprop-RDKit,chemprop-dmpnn-2019,AUPRC,higher,0.4,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/13cyp2c9s/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,CYP2C9 substrate,CYP2C9_Substrate_CarbonMangels,666,AttentiveFP,attentivefp-2019,AUPRC,higher,0.375,0.032,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/13cyp2c9s/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,CYP2D6 substrate,CYP2D6_Substrate_CarbonMangels,664,MolE,mole-2024,AUPRC,higher,0.692,0.017,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,4.0
tdc-collected-six-19-v1,CYP2D6 substrate,CYP2D6_Substrate_CarbonMangels,664,KPGT,kpgt-2023,AUPRC,higher,0.737,0.016,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,1.0
tdc-collected-six-19-v1,CYP2D6 substrate,CYP2D6_Substrate_CarbonMangels,664,MapLight,maplight-2023,AUPRC,higher,0.713,0.009,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/14cyp2d6s/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,CYP2D6 substrate,CYP2D6_Substrate_CarbonMangels,664,MapLight + GNN,maplight-2023,AUPRC,higher,0.72,0.002,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/14cyp2d6s/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,CYP2D6 substrate,CYP2D6_Substrate_CarbonMangels,664,Chemprop-RDKit,chemprop-dmpnn-2019,AUPRC,higher,0.686,0.031,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/14cyp2d6s/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,CYP2D6 substrate,CYP2D6_Substrate_CarbonMangels,664,AttentiveFP,attentivefp-2019,AUPRC,higher,0.574,0.03,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/14cyp2d6s/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,Half-life,Half_Life_Obach,667,MolE,mole-2024,Spearman,higher,0.578,0.032,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,1.0
tdc-collected-six-19-v1,Half-life,Half_Life_Obach,667,KPGT,kpgt-2023,Spearman,higher,0.531,0.03,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,4.0
tdc-collected-six-19-v1,Half-life,Half_Life_Obach,667,MapLight,maplight-2023,Spearman,higher,0.562,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/16halflife/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,Half-life,Half_Life_Obach,667,MapLight + GNN,maplight-2023,Spearman,higher,0.557,0.034,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/16halflife/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,Half-life,Half_Life_Obach,667,Chemprop-RDKit,chemprop-dmpnn-2019,Spearman,higher,0.239,0.019,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/16halflife/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,Half-life,Half_Life_Obach,667,AttentiveFP,attentivefp-2019,Spearman,higher,0.085,0.068,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/16halflife/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,Hepatocyte clearance,Clearance_Hepatocyte_AZ,1020,MolE,mole-2024,Spearman,higher,0.456,0.027,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,3.0
tdc-collected-six-19-v1,Hepatocyte clearance,Clearance_Hepatocyte_AZ,1020,KPGT,kpgt-2023,Spearman,higher,0.424,0.019,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,5.0
tdc-collected-six-19-v1,Hepatocyte clearance,Clearance_Hepatocyte_AZ,1020,MapLight,maplight-2023,Spearman,higher,0.466,0.012,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/17clhepa/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,Hepatocyte clearance,Clearance_Hepatocyte_AZ,1020,MapLight + GNN,maplight-2023,Spearman,higher,0.498,0.009,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/17clhepa/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,Hepatocyte clearance,Clearance_Hepatocyte_AZ,1020,Chemprop-RDKit,chemprop-dmpnn-2019,Spearman,higher,0.43,0.021,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/17clhepa/,leaderboard,TDC leaderboard,2026-09-22,4.0
tdc-collected-six-19-v1,Hepatocyte clearance,Clearance_Hepatocyte_AZ,1020,AttentiveFP,attentivefp-2019,Spearman,higher,0.289,0.022,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/17clhepa/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,Microsomal clearance,Clearance_Microsome_AZ,1102,MolE,mole-2024,Spearman,higher,0.632,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,2.0
tdc-collected-six-19-v1,Microsomal clearance,Clearance_Microsome_AZ,1102,KPGT,kpgt-2023,Spearman,higher,0.637,0.01,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,1.0
tdc-collected-six-19-v1,Microsomal clearance,Clearance_Microsome_AZ,1102,MapLight,maplight-2023,Spearman,higher,0.626,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/18clmicro/,leaderboard,TDC leaderboard,2026-09-22,4.0
tdc-collected-six-19-v1,Microsomal clearance,Clearance_Microsome_AZ,1102,MapLight + GNN,maplight-2023,Spearman,higher,0.63,0.01,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/18clmicro/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,Microsomal clearance,Clearance_Microsome_AZ,1102,Chemprop-RDKit,chemprop-dmpnn-2019,Spearman,higher,0.599,0.025,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/18clmicro/,leaderboard,TDC leaderboard,2026-09-22,5.0
